SNNAME SURVEY Z ZERR T0 T0ERR X0 X0ERR X1 X1ERR X2/C X2/CERR COV_X0_X1 COV_X0_X2/C COV_X1_X2/C CHISQ/NDOF MODEL mB mBERR COV_mB_X1 COV_mB_X2/C
washington PS1_HST_COMBINED(CANDELS) 1.33 0.02 55613.82185659704 3.6758694962554728 6.77950727407898e-08 1.4218702348008219e-08 -0.44293137003921446 0.37617239247957296 -0.39493170433846225 0.4291904564801283 5.048445151957626e-09 5.064629705311669e-09 0.152167301552329 2.4740566516257774 EXP_FA 25.81150467238418 0.227712122722211 -0.08085070872588897 -0.08110990389780817
carter PS1_HST_COMBINED(CANDELS) 1.54 0.04 55932.53685590234 2.946296365927992 6.243378040420145e-08 7.855001515283798e-09 -0.06839868514282621 0.12394784135128642 -0.4169353223412075 0.1575609972881709 8.33060776467637e-10 1.003112592623776e-09 0.015604057167396303 1.2715202293740557 EXP_FA 25.900950918679435 0.13660008217281794 -0.014487097207939791 -0.017444333055108976
Primo PS1_HST_COMBINED(CANDELS) 1.55 0.0001 55483.64764591442 2.0645355892447697 6.41824916512607e-08 4.214494898051374e-09 0.24338435424087154 0.06477321612730293 0.23989512810919136 0.08206587224796653 2.2560757161466735e-10 1.1516634324388205e-10 0.003170676046694497 1.4156865928048725 EXP_FA 25.870958567533016 0.07129404885752698 -0.003816466177420449 -0.0019481990370348676
geta PS1_HST_COMBINED(CANDELS) 1.7 0.04 56138.66539418634 1.7844850658184441 7.046405842689886e-08 4.687707849922705e-09 0.2294315009133802 0.09244439777051851 -0.010630929049001326 0.13940844365455654 3.6033079205911e-10 1.4404549216976625e-10 0.004127388788174851 0.7878285749925614 EXP_FA 25.769580867347315 0.07222993173562461 -0.005552109761512168 -0.0022195060783103673
stone PS1_HST_COMBINED(CANDELS) 1.8 0.02 56481.68902138162 1.0525315717168269 4.32018502511348e-08 2.4882416276936617e-09 0.009073349601821818 0.09262746850311225 0.0709886848312767 0.11797503501578395 1.9347739865749818e-10 1.386674262931104e-10 0.00467486443065765 1.243478882942444 EXP_FA 26.300744131999153 0.06253375736615226 -0.004862417125742198 -0.003484949007319533
colfax PS1_HST_COMBINED(CANDELS) 2.26 0.02 56054.27912302373 7.3898373688498395 3.321737482411003e-08 3.6429533813596333e-09 0.09089797523792637 0.41907037530202035 -0.39738003455815424 0.37908317293348415 4.5413902050773434e-10 4.780538801462159e-10 0.1387540013796206 0.7029759844604729 EXP_FA 26.586086732274246 0.11907281654049778 -0.014843893569842103 -0.01562556969803397
wilson PS1_HST_COMBINED(CANDELS) 1.914 0.001 55539.49137797188 1.4213547575927805 3.847054831784366e-08 5.198034163998787e-09 -0.034228732529330085 0.1606778511952044 0.286885040527298 0.15915948845740005 7.3226127422099e-10 7.602462402916612e-10 0.021920098190244836 0.7849216328377872 EXP_FA 26.426679059205874 0.14670167523464814 -0.02066626579365098 -0.02145607233866876
rutledge PS1_HST_COMBINED(CANDELS) 1.614 0.005 56455.75913171566 1.5685479117237264 6.221403365533702e-08 4.375486935070135e-09 0.07142628144307489 0.09055095511353978 -0.14843537749195432 0.13877987311846685 3.571677147244662e-10 4.302816293147078e-11 0.0020610334191002574 0.38128070508207507 EXP_FA 25.904779100506666 0.07635937263238834 -0.006233158280580475 -0.0007509115158444946
Aphrodite PS1_HST_COMBINED(HST) 1.3 0.001 52551.44454598503 0.7956631740235025 9.045711332352201e-08 2.411800949444557e-09 0.13247316446001267 0.07725006126203711 -0.03097769327905845 0.0680049038862565 -1.32647616272278e-10 -8.824350766655787e-11 0.0032907499303341616 3.198360128979671 EXP_FA 25.49839318904514 0.028948299512019302 0.0015921392378129926 0.0010591667983674172
Borg PS1_HST_COMBINED(HST) 1.34 0.001 52733.19470354397 3.906057180098287 9.553190498572932e-08 9.736408176665357e-09 -0.1946323236638732 0.05199130267421694 -0.28082655239513554 0.10963745915156281 -2.8521062744149873e-10 -9.21094259086816e-10 0.003108063225080324 0.8460293324446637 EXP_FA 25.439128904935792 0.11065592027383732 0.003241466861163039 0.010468391530921654
