SNNAME SURVEY Z ZERR T0 T0ERR X0 X0ERR X1 X1ERR X2/C X2/CERR COV_X0_X1 COV_X0_X2/C COV_X1_X2/C CHISQ/NDOF MODEL mB mBERR COV_mB_X1 COV_mB_X2/C
2001ah PS1_LOWZ_COMBINED(CFA3S) 0.0589134208858 0.0 52004.084531339846 0.784010877556284 0.00017136848103010423 5.469036492289085e-06 0.25490279927632786 0.031377821680299955 -0.2090112425284369 0.025597824613746347 1.6372969461343285e-07 -2.537018259207607e-08 -0.00021039569031243235 1.2846365080426607 EXP_FA 17.3046726318409 0.03465007619329106 -0.0010373392829721578 0.00016073740979651073
2001az PS1_LOWZ_COMBINED(CFA3S) 0.0405932441354 0.0 52031.19817269223 0.46311429524212144 0.00027617513386743746 6.114641135939461e-06 0.07431278991213162 0.014085985448370756 -0.09098798147251735 0.04104309885505638 2.1829155008230437e-08 -1.017173089019425e-07 0.00038121987657974057 0.7936976423187306 EXP_FA 16.786538567021196 0.024038685769514203 -8.581766062649666e-05 0.0003998845347836966
2001da PS1_LOWZ_COMBINED(CFA3S) 0.0164730455726 0.0 52102.75067986033 6.009964736422262 0.0011778856828375524 5.788578775251963e-05 -0.1830471261518322 0.03752741035489562 -0.34554252964063364 0.06766009735910536 1.2327106001305284e-06 -3.758525047929753e-07 0.0016730850126448573 0.790459404464449 EXP_FA 15.211742142552188 0.053357211501587655 -0.0011362720067422884 0.00034644845255245494
2001en PS1_LOWZ_COMBINED(CFA3S) 0.015444220975 0.0 52193.36960844586 0.2113346555888711 0.0013598003387793383 1.872768303659604e-05 -0.06335670892518852 0.01007782933302132 0.11704981518572799 0.008003723627735692 1.2840537046746836e-07 2.6146090884913945e-08 4.04644115276103e-05 12.13697487100671 EXP_FA 15.055812137405471 0.014953168435242298 -0.00010252561028706596 -2.0876415953926465e-05
2001fe PS1_LOWZ_COMBINED(CFA3S) 0.0144914556295 0.0 52229.48083619074 0.1684462960147357 0.0020935787142963395 1.8604057798984667e-05 -0.007691495548935642 0.009251569774214975 -0.07119947032768552 0.008378817332214203 1.3035797381337283e-07 5.341996634540102e-08 3.908763853889146e-05 7.004259681169561 EXP_FA 14.587276764694128 0.00964812021150086 -6.760403646712722e-05 -2.770375487776047e-05
2001gb PS1_LOWZ_COMBINED(CFA3S) 0.026762455 0.0 52232.12827587065 3.1033446038418333 0.0004470365701958342 3.546933417820888e-05 -0.018941305238553204 0.07095417453503558 -0.032554682984959026 0.22283577286885198 2.232546376390306e-06 4.222426758208652e-06 0.012463581803132815 3.3689587582886 EXP_FA 16.26364236899004 0.08614583871533378 -0.00542227770892806 -0.010255182481644217
2001G PS1_LOWZ_COMBINED(CFA3S) 0.0170709602535 0.0 51931.164439088636 0.7131511513871374 0.0016607090434518472 4.708556014739015e-05 0.07184768556823856 0.03294968225758169 0.012560555370151417 0.0399994968374356 1.409027393818476e-06 8.821318565963736e-07 0.0009197662361967016 3.346305447759138 EXP_FA 14.838766123404792 0.030783536450839068 -0.0009211921022510339 -0.0005767190212238764
2001ic PS1_LOWZ_COMBINED(CFA3S) 0.042963424 0.0 52242.675085837254 1.1927359315814101 0.00021158900219962352 2.730790966262267e-05 0.03014004830836838 0.0829647940969434 0.19246456017702485 0.07229178140164534 2.0907118130665083e-06 1.1117849272562291e-06 0.004485551644103805 2.2489109895446706 EXP_FA 17.075767273635414 0.14012631038829365 -0.010728163966765271 -0.0057049522181102244
2001V PS1_LOWZ_COMBINED(CFA3S) 0.0159647166729 0.0 51973.771842690796 0.04995045497707906 0.002411415523959244 1.9114653726081603e-05 -0.025973895238017373 0.008927954814341907 -0.08777282614786949 0.010598538847729825 1.5357068326707654e-07 1.557828564334644e-07 6.960083427974288e-05 5.307144728088263 EXP_FA 14.433819868899056 0.008606344027240509 -6.914496865258074e-05 -7.014099628617505e-05
2002bf PS1_LOWZ_COMBINED(CFA3S) 0.0247441995889 0.0 52338.67927715375 0.5846971471837605 0.0004928304697023915 3.4278509900597e-05 -0.006468431319890069 0.051098000150603354 0.32666976469239645 0.03484551238418059 1.667606913557284e-06 7.324628088117029e-07 0.0014039057164312047 3.541601301148637 EXP_FA 16.15775612338272 0.07551769123916559 -0.00367384184351968 -0.0016136611655645746
2002bz PS1_LOWZ_COMBINED(CFA3S) 0.0376183390617 0.0 52365.748456327914 0.9202394878411724 0.0002793167766658753 2.0816120832016436e-05 0.14520674901492936 0.03494293428352823 0.2299878173725764 0.030547480253690903 6.100655352124752e-07 8.802860970552971e-08 0.00044947754512638603 0.904892017711956 EXP_FA 16.774257445973056 0.08091463856815068 -0.0023713943958606942 -0.000342177257494799
2002ck PS1_LOWZ_COMBINED(CFA3S) 0.0303127449006 0.0 52395.659353239964 0.44096050136431586 0.0005004384245991959 1.5013654686849824e-05 0.046158478908925465 0.010776752162433444 -0.007140267219240444 0.010350229523728991 1.1352055604772078e-07 8.367771929982142e-08 6.667874145281711e-05 4.485144172842283 EXP_FA 16.141123379387334 0.03257317515597427 -0.00024629079548397836 -0.00018154467145117413
2002cr PS1_LOWZ_COMBINED(CFA3S) 0.0102454563603 0.0 52408.82443145605 0.03242669580504298 0.003092101865020139 2.721084806342068e-05 -0.08452130878189378 0.0111015442516852 0.04566505985503903 0.009198051995439532 2.4093223823418523e-07 2.2587843036391937e-07 6.950543470229161e-05 3.8434628110801943 EXP_FA 14.16386551821721 0.009554602077909242 -8.459904148163049e-05 -7.931316639157615e-05
2002de PS1_LOWZ_COMBINED(CFA3S) 0.0282677393407 0.0 52433.712957950935 0.10943628866152721 0.0003363615471893147 2.3888098780680997e-06 -0.21648857815107542 0.01566173889136397 -0.21708492223833226 0.05390547628092312 1.5650131354321783e-08 -2.1430772679111874e-08 0.0006535824207486271 5.022795275892401 EXP_FA 16.57248414632042 0.007710802238172072 -5.051681549985249e-05 6.917605769174647e-05
2002dp PS1_LOWZ_COMBINED(CFA3S) 0.0104468800128 0.0 52451.160369246616 0.14108668689004844 0.002143393733798168 3.1965639475105027e-05 -0.2854453938423187 0.031377139558988756 -0.11239038553768223 0.04322200528748366 9.217166809761208e-07 1.0265184235308079e-06 0.0010907495822246106 1.1477278681003407 EXP_FA 14.561745108198968 0.016192196300241348 -0.0004668956315795162 -0.0005199829595954146
2002eu PS1_LOWZ_COMBINED(CFA3S) 0.0367125719786 0.0 52518.41618439996 0.7571841992757982 0.0001668013259938061 1.316512929433869e-05 -0.11541659753681 0.053256095514633936 0.24670710500376503 0.03147209581337063 6.637204656560616e-07 1.8413096920032434e-07 0.0010202376055438163 5.990110425239204 EXP_FA 17.33400125310805 0.08569390818701371 -0.0043202614554063564 -0.0011985375924734546
2002G PS1_LOWZ_COMBINED(CFA3S) 0.0344943143427 0.0 52299.95689383685 0.3350994764587085 0.000132292633253576 4.87888262168529e-06 -0.4382227544546958 0.05984231649631235 0.022405567313291325 0.0764706048036883 2.6595100653707216e-07 3.2935313678274914e-07 0.0036967570571683015 1.2361059557126175 EXP_FA 17.5856608473241 0.04004137925787181 -0.002182681146996974 -0.002703027492621334
2002ha PS1_LOWZ_COMBINED(CFA3S) 0.0122384335846 0.0 52580.96254834529 0.06278479449611041 0.00196470439284595 1.1454709865330123e-05 0.06952373863696248 0.00551744261920725 0.21341175313883468 0.006689941782141661 5.160590212262168e-08 3.5192978781707896e-08 2.2357021050090056e-05 15.584165270499291 EXP_FA 14.656256959548774 0.006330109130449828 -2.85184868104115e-05 -1.9448366561259547e-05
2002he PS1_LOWZ_COMBINED(CFA3S) 0.0248394012451 0.0 52586.24321491586 0.054834133821714204 0.0004841520339756461 6.457904074289444e-06 0.06509683733158846 0.012120819686451886 0.3462720477233694 0.016962965436695294 6.786315854949928e-08 9.587054871630204e-08 0.00015840736410935937 4.63095631050123 EXP_FA 16.177045598220676 0.014482186933585786 -0.00015218667491984328 -0.0002149947091135284
2002kf PS1_LOWZ_COMBINED(CFA3S) 0.0194761697203 0.0 52638.56084621384 0.21128637951187557 0.0008700220764347103 1.144631406839105e-05 0.08470539872076836 0.007481770006219782 0.14986186510186517 0.006407592039369262 6.747032789910148e-08 -1.7011375151649715e-08 3.102085157330178e-06 8.066462746769794 EXP_FA 15.540674318016292 0.014284324423136758 -8.419898727989844e-05 2.1229192218382707e-05
2003ae PS1_LOWZ_COMBINED(CFA3S) 0.0337971225381 0.0 52666.01554907612 0.4775257043183956 0.00020208709381588512 1.1118821948334773e-05 -0.11620559224766555 0.04107269123057682 0.12358023909080978 0.03621329869142724 4.225825655445595e-07 2.652917728902738e-07 0.0011637300653255427 4.8294421638176 EXP_FA 17.125653553959424 0.05973715250992172 -0.00227037354166374 -0.001425310628267347
2003ch PS1_LOWZ_COMBINED(CFA3S) 0.029224387 0.0 52725.85124781723 0.19210905995350913 0.00032508419565740234 3.8567453766124795e-06 0.05758643483177905 0.009538404551779081 0.19853160216832605 0.016459316342372295 2.3743278124191725e-08 -2.0663868979107827e-08 2.511705221177368e-05 6.553535366592673 EXP_FA 16.609510359292763 0.012880995581632936 -7.929926161727156e-05 6.901446142475646e-05
2003cq PS1_LOWZ_COMBINED(CFA3S) 0.0337450504303 0.0 52739.58985465264 0.0948233201779658 0.00021797458587550199 4.740189254626333e-06 -0.11024252083117128 0.02701721908532533 0.09485173771690708 0.021803736892477592 1.242324570009209e-07 4.6090572409138025e-08 0.00028215690394637 5.154302466551955 EXP_FA 17.043485346922353 0.023610986897769734 -0.0006188045997664944 -0.00022957815454325168
2003fa PS1_LOWZ_COMBINED(CFA3S) 0.0401637516916 0.0 52807.15102805544 0.03460954752881662 0.00035444826409169506 2.6006016587750373e-06 0.046209219360388895 0.008933776321399524 -0.16577832123732214 0.014848374888197945 2.196126537951136e-08 3.374492070460172e-08 0.00011778532277712995 8.718266665663327 EXP_FA 16.51561786565358 0.007966091701201432 -6.727114600473353e-05 -0.0001033665159274136
2003hu PS1_LOWZ_COMBINED(CFA3S) 0.074723862 0.0 52896.6639988235 8.542238382633514 9.362186211496864e-05 3.339037594884808e-06 -0.031288645430431625 0.04220399131085467 -0.0726598926523473 0.048336619448508006 1.3159275706946276e-07 1.1134190819419522e-07 0.0012376650151900198 3.156988794785402 EXP_FA 17.961056812790375 0.03872294273919718 -0.0015260860808216459 -0.001291236235878773
