SNNAME SURVEY Z ZERR T0 T0ERR X0 X0ERR X1 X1ERR X2/C X2/CERR COV_X0_X1 COV_X0_X2/C COV_X1_X2/C CHISQ/NDOF MODEL mB mBERR COV_mB_X1 COV_mB_X2/C
6 PS1MD 0.2305 0.001 55203.6049734278 2.953887451440096e-05 3.07473340422795e-06 2.608404255113056e-07 -0.3998290518909056 0.1385398956267396 -0.20341220179816172 0.13438821800523054 3.5053878541622425e-08 2.282725594023221e-08 0.014257171811279428 3.0122451072431575 EXP_FA 21.669981334755533 0.09210681265982851 -0.0123780699157526 -0.008060659241386625
11 PS1MD 0.3812 0.001 55210.747001130556 0.6333584701933432 7.681166418846971e-07 4.267493957597783e-08 -0.32771570635783737 0.09469207076434001 0.13542424608783363 0.1479379371574322 3.727508351451732e-09 -9.618866053085476e-10 -0.000504897162485034 1.4572056415864714 EXP_FA 23.17593206359163 0.060321212179204275 -0.005268849221622449 0.001359630888471432
34 PS1MD 0.2534 0.001 55207.8684099925 0.3680189887600136 7.188730635346584e-06 2.6910438984174903e-07 0.1640097680308324 0.02606223821964898 -0.1463779866005554 0.1550227326613465 4.211231655207661e-09 -2.9009427693939798e-08 0.00041534496700216215 0.6157638363314193 EXP_FA 20.74786947318506 0.04064366766977162 -0.0006360353317734268 0.004381383518775434
91 PS1MD 0.1526 0.001 55210.29942164339 0.06140444143966306 8.980395713922712e-06 6.842798155080759e-08 0.026547905216290302 0.00937082607483484 0.39187746046678573 0.013832379105308323 5.240427779528508e-10 1.3932366709857296e-10 5.823650774879673e-05 3.706688211351329 EXP_FA 20.506261315184013 0.008272991453266437 -6.33571431583279e-05 -1.6844330068225274e-05
142 PS1MD 0.4365 0.001 55214.107238612596 0.47947025780013064 1.001418083384532e-06 3.790480980947202e-08 -0.0018307461138254272 0.08768616332219761 0.10038396919998346 0.08905547962512929 2.7902285061523685e-09 1.7427883069340394e-09 0.0043153756902078125 0.8993426605161353 EXP_FA 22.88796142618338 0.04109634629876363 -0.003025162176459866 -0.001889528852596949
190 PS1MD 0.1023 0.001 55223.52267362238 6.879723514430225e-06 2.5866177901757832e-05 1.841554762796185e-07 -0.03289480489861611 0.00866174739383339 0.0011061403375405223 0.012349045806363297 1.4694976612132215e-09 1.72949032507381e-09 9.000586979054767e-05 13.689811048055583 EXP_FA 19.357669349430907 0.007729950233106176 -6.16823567689977e-05 -7.259558288215174e-05
199 PS1MD 0.3712 0.001 55214.22456686999 0.2532200614150497 2.6892866617338855e-06 3.815633665796345e-08 0.15073148090318803 0.01968626385421144 -0.04454565798724342 0.03083582247732756 6.367838588807844e-10 -1.39400915478449e-10 2.09694036705068e-05 1.077180417669408 EXP_FA 21.81540725534383 0.015404723021896336 -0.00025708649807778416 5.627983920977662e-05
215 PS1MD 0.4661 0.001 55222.45019571438 0.3735582683002576 1.4582772873901266e-06 6.309798600879191e-08 0.23134827412411518 0.08983612791924021 0.028107958555862605 0.10120263171780645 5.243004547666428e-09 5.493022213894157e-09 0.007956387985807317 0.8422644988137492 EXP_FA 22.479899720680354 0.04697856055872295 -0.003903592210025326 -0.004089738723037538
236 PS1MD 0.1959 0.001 55211.171011254984 0.15261571148221265 1.0070647793633636e-05 2.2936691669471295e-07 0.13206152964545995 0.023821713096221556 0.05185296334666488 0.024397191233137296 5.224202316922365e-09 3.0029256266696173e-09 0.00036025963836361705 1.4507199723945028 EXP_FA 20.381856481472973 0.02472849520034077 -0.0005632314536955262 -0.0003237512759737578
420 PS1MD 0.3112 0.001 55223.54795283319 0.1933257027012587 2.6764478272335154e-06 7.635142584991213e-08 0.10379740223456722 0.037210838959287756 0.13403483587860715 0.053494060693124124 2.497871200908424e-09 1.6508939115881447e-09 0.0006962764430111965 1.3936797490166886 EXP_FA 21.82060304506288 0.03097295844389448 -0.0010132942514527571 -0.0006697067926329612
10026 PS1MD 0.0316 0.001 55246.861076598994 0.03453768296458293 2.8132072023045097e-06 1.2327452620370817e-07 -111.28442256969171 4.91760285833781 -36.26922024478986 1.860125086566513 6.045404302922604e-07 1.9808613453155968e-07 7.8362027844092745 11.799107514771968 EXP_FA 21.76649569846765 0.0475768781318807 -0.2333178415975482 -0.0764498568556644
20027 PS1MD 0.1098 0.001 55270.62280224331 0.20723157517568325 2.2474119818030415e-05 2.233036481429505e-07 -0.08080956223970324 0.013065880894184602 -0.07958922417989849 0.019829027375309057 2.306147042537595e-09 -1.0249603054072284e-10 7.505029227702614e-05 7.935983250722152 EXP_FA 19.510293270194598 0.010787913271195665 -0.00011141114125280066 4.9516355747457446e-06
20096 PS1MD 0.2255 0.001 55281.0849425703 0.3777471511675685 6.370934770179762e-06 3.8114062966511657e-07 0.013851680403715186 0.0721451083721242 0.0592761309385785 0.07969938490436812 2.6292908071569655e-08 2.0420124967064792e-08 0.004113164356021717 1.8136850941471345 EXP_FA 20.87899210371932 0.06495407591813268 -0.004480843589122942 -0.0034800025086117905
20176 PS1MD 0.2604 0.001 55270.08771296096 0.39005821192768053 5.68504410693878e-06 2.0297666062211551e-07 0.09368637035042224 0.042019585149040806 -0.09422113970823084 0.04943440359901554 7.969710361169609e-09 -1.8036232365611343e-09 -0.0001340914335885048 1.5575403446463545 EXP_FA 21.002665403814486 0.03876471404845475 -0.0015220643706170308 0.00034445802193290673
30066 PS1MD 0.2253 0.001 55300.31298345484 0.5183369273254357 9.203779989076487e-06 4.1297503919867156e-07 0.16135938790038593 0.04636945159744405 -0.04690977526077733 0.06287919790671612 1.7657731410669457e-08 1.4249875042182714e-08 0.002156000495011106 1.2159521601365584 EXP_FA 20.47958442858086 0.04871715232780096 -0.002083017880611286 -0.0016810055504303165
40137 PS1MD 0.4474 0.001 55301.582821148295 0.7962336491364113 5.717274580400255e-07 1.561343388310042e-07 -1.0169937021172117 0.7538400098854078 -7.268180408741589 2.3827383186117883 1.1003733302816576e-07 3.684062679402966e-07 1.67787767635372 3.44835892899154 EXP_FA 23.49652737415687 0.2965061448263108 -0.20896585368363244 -0.6996201031411746
40166 PS1MD 0.4399 0.001 55331.45759330083 1.4458607142660185 1.087076748464057e-06 6.521206427655285e-08 -0.20271214703362375 0.13546693115037398 0.091326036467296 0.12909977308431952 7.253000975085597e-09 2.405181731060443e-09 0.005927025633226786 0.3743324251367203 EXP_FA 22.798849483257598 0.06513164711884988 -0.007244056836762361 -0.002402215747990949
40782 PS1MD 0.3374 0.001 55351.77396037022 3.627847763709724e-05 1.7746958864797076e-06 9.554841174803569e-08 -0.19348880807183458 0.10138100672513269 -0.16465013213219173 0.12721903006676166 8.29081643182145e-09 2.7175538595228415e-09 0.00346013856912365 0.3947609717560198 EXP_FA 22.26669014333816 0.05845529407731884 -0.005072215265505484 -0.0016625646321392286
50005 PS1MD 0.5283 0.001 55353.467144115464 1.3014351879064634 1.086514562223926e-06 4.1074701610873084e-08 0.13064878548136988 0.10366953781800117 0.08867909878140108 0.16990559435490335 2.91480674700546e-10 -2.502050305125572e-09 0.009114670015671641 2.9801231182013552 EXP_FA 22.799411121469284 0.041045276509944155 -0.00029127186373088516 0.0025002578859509897
