SNNAME SURVEY Z ZERR T0 T0ERR X0 X0ERR X1 X1ERR X2/C X2/CERR COV_X0_X1 COV_X0_X2/C COV_X1_X2/C CHISQ/NDOF MODEL mB mBERR COV_mB_X1 COV_mB_X2/C
744 SDSS 0.12694 1.4e-05 53613.713072697275 0.5370362668363668 1.9370607992683173e-05 6.338117383476281e-07 -0.1077123718074166 0.02726603235906862 -0.20078774881777992 0.03806808796390379 1.3763645239805299e-08 6.7024401745634475e-09 0.0006094701392216242 0.8914329503001023 EXP_FA 19.671641869249797 0.035525593806071606 -0.0007714619980925822 -0.0003756764867936873
1112 SDSS 0.256085 2.7e-05 53633.59364645971 2.500151503136294 4.657995461230571e-06 6.687889690312455e-07 0.050299446896845214 0.16684844964785525 -0.5823452896141551 0.3317469459233218 8.893948391335697e-08 -3.721589314262308e-08 0.01696971070572329 0.6676118571990339 EXP_FA 21.219002347448534 0.15588860123711987 -0.020730981496431936 0.008674684832492487
1241 SDSS 0.088477 1.5e-05 53635.34789490774 0.07536709390842589 3.564815475496314e-05 4.5331836804310344e-07 -0.08188655103049348 0.019374737558058883 0.05773075828169201 0.015332770706040087 6.931096258070775e-09 4.162577610474956e-09 0.00012335535677269257 0.897842978631982 EXP_FA 19.009407363722275 0.013806722054743757 -0.00021110046783005834 -0.0001267796677801119
1371 SDSS 0.117969 2.6e-05 53632.99405534751 0.08946076548818382 4.022066047834912e-05 3.337878641565309e-07 0.11248532118363738 0.009955205053260047 -0.046089953103924886 0.012840691906029917 2.3196812459266984e-09 2.146168137507913e-09 6.099926379431488e-05 3.153820374915619 EXP_FA 18.87837700492581 0.009010433058868285 -6.261861148592552e-05 -5.793471366898618e-05
1580 SDSS 0.183217 0.005 53633.904113744306 0.2935991420017672 1.3588830962719148e-05 8.398468718482146e-07 0.0792489529762144 0.0694663916069401 -0.07729458373118261 0.05174781843529069 5.6568310145380394e-08 3.1198290057763126e-08 0.0025776220843096373 0.4105212828215332 EXP_FA 20.056544759250148 0.06710306116251846 -0.004519760569200296 -0.0024927172274929054
1794 SDSS 0.1407 6.3e-05 53624.68790718069 0.5579422955197515 1.536989828245222e-05 1.2663601989751963e-06 -0.05196479578145756 0.09717976074869233 -0.18100522548148143 0.0977203034390841 1.2026719520226672e-07 1.0375467068267863e-07 0.008512567102417913 0.815749042235017 EXP_FA 19.922822516598046 0.08945622742746695 -0.00849572623554024 -0.007329274423471857
2031 SDSS 0.151859 0.0005 53636.70910331554 4.118522338103503e-05 2.2536413162737044e-05 1.046546671240084e-06 0.15360088277521394 0.04415483205680385 0.02672693617988946 0.035732502699020646 4.4967772918061904e-08 2.9611099328152387e-08 0.001243455913493296 3.714531896629579 EXP_FA 19.507288009942556 0.05041945240927871 -0.0021664112541745916 -0.0014265731805282354
2102 SDSS 0.094009 0.0005 53621.177041477975 0.25936267353245057 5.8306906395298715e-05 7.449278174153186e-07 0.13725575658401587 0.008521333278599112 -0.03150633269815287 0.014222494792626078 3.959079678593536e-09 -8.073503782607634e-10 6.134414863064066e-05 1.5873088869303056 EXP_FA 18.475200001107503 0.013871343058675432 -7.37222468197656e-05 1.5033717097938152e-05
2165 SDSS 0.286619 0.005 53633.51808538935 0.8548386247930466 3.920232571587762e-06 2.5542752292472166e-07 0.1360815667454998 0.10416816018301038 -0.1392087405048802 0.22056628356466776 2.1610085040084786e-08 3.5354149177996126e-09 0.009333049806739355 0.30342856907173665 EXP_FA 21.406220418187978 0.07074246342959577 -0.00598506626519335 -0.000979158227222819
2422 SDSS 0.263492 0.005 53638.930992656424 0.0002573838246462401 5.848500231564292e-06 3.50746094881318e-07 0.13470235969468744 0.08783996231523224 -0.13313571360861673 0.09386476179313478 2.7576582770832207e-08 1.576118138210106e-08 0.004899041934485169 1.1597274869759735 EXP_FA 20.971888721402422 0.06511374178202266 -0.005119414060413489 -0.0029259612855875423
2635 SDSS 0.143104 0.0005 53638.85919293645 7.107162673491985e-05 1.7851193142046128e-05 9.896874790579811e-07 -0.060597775086258916 0.062285439742560435 -0.15353372820604488 0.04735661090061433 6.069460740676215e-08 4.0270101808815785e-08 0.0025571832274900205 2.178495920872886 EXP_FA 19.760331877774508 0.06019426930506496 -0.0036915365920212797 -0.0024492876837539828
2689 SDSS 0.160352 4.6e-05 53640.372158704144 0.7286362640370498 9.260739990930207e-06 1.1718416845737057e-06 -0.5947199741003352 0.21762449286074922 -0.3456951919182434 0.13521855661446705 2.522723998267298e-07 1.3558264475501778e-07 0.025928560107062393 1.6231843181891588 EXP_FA 20.472885772728908 0.13738761097196397 -0.029576608156729675 -0.015895812461159092
2916 SDSS 0.12303 0.0005 53643.82729131718 0.17046961095184088 1.5735969176487322e-05 5.419517087925793e-07 -0.12020828043033796 0.037939113603577046 0.09823203101277644 0.04437275941413734 1.8554973986611858e-08 1.9601496822698495e-08 0.0012662441673744564 2.0761584354884923 EXP_FA 19.897266259452635 0.037393095072011835 -0.0012802393554323707 -0.001352446393937708
2992 SDSS 0.126077 1.7e-05 53640.096740023306 0.34130797659236123 1.5010737094162855e-05 2.920632662682207e-07 -0.17393243552198995 0.025701908922049675 0.0168276158593214 0.03207251744054779 6.032871606238943e-09 2.907096581895156e-10 0.0001970034959894055 0.9271954778688113 EXP_FA 19.948494953591045 0.021125122655744295 -0.0004363614578326108 -2.102721531855732e-05
3080 SDSS 0.173146 2.4e-05 53647.06310293114 3.7949786928948015e-05 1.3416886643065567e-05 6.369072708439044e-07 0.08176942793134599 0.05309184169800846 0.07117852554032897 0.047399065549626064 3.2664662956071035e-08 1.994093832324371e-08 0.0016576970285422058 0.7646040648972342 EXP_FA 20.070370623719 0.051540517664455575 -0.0026433261404916167 -0.0016136827619084447
