sn,log_hm,z,zerr,mB,mBerr,x1,x1err,x2,x2err,cov_mB_x1,cov_mB_x2,cov_x1_x2,is_log_mass_g_10
34,8.938,0.2534,0.001,20.766030649501303,0.0444722602063254,0.8714900347890288,0.4100297911453805,-2.129568492878557,0.9638559230274752,0.0028736263774181,0.0370297507370765,0.2371756560048815,0.0
142,11.713,0.4365,0.001,22.921131833085276,0.0456922252367323,-0.3560822568664078,2.484718508481145,1.07594595961552,1.9050690394262215,-0.0939427145986027,-0.0532375147265316,4.228305056709607,1.0
190,9.799,0.1023,0.001,19.349321188017655,0.0042186519171524,-1.496560268946479,0.1000054545504196,-0.4499025566310965,0.0895925441981424,7.578963069005174e-05,0.0002167383305584,0.0068775051218675,0.0
199,10.475,0.3712,0.001,21.84141927254929,0.0147301122728799,1.3778018508270309,0.5432102951948938,-0.3718588629288936,0.8258631793095973,-0.0013371337633317,0.0032084270975473,0.3902222394408441,1.0
236,10.902,0.1959,0.001,20.48296547838557,0.0148301575417452,0.1974956551675128,0.4080056944079677,-0.2538267328162965,0.3928708939606153,-0.0008108339972108,0.0026457371086662,0.1232751276574414,1.0
420,9.742,0.3112,0.001,21.923982563101447,0.0204804124086042,0.6952562762391399,0.5594538788375557,1.0355608068336724,0.6842334821628062,0.0025002733414812,0.0105613786830135,0.2316081892332659,0.0
20027,10.748,0.1098,0.001,19.50599523496498,0.0100973782888394,-1.478962823158253,0.3456078600087687,-0.2884899613621872,0.287967467151169,-0.0013449120323475,0.0004048129228387,0.0782721075133357,1.0
20096,9.059,0.2255,0.001,20.928151972004517,0.0303925814960599,-0.8575401431830365,1.0989113338927,0.2016862221030188,1.2567740645888756,-0.0050650739426284,0.0098933179419196,1.1902696432079771,0.0
20176,8.7022,0.2604,0.001,21.010484217783823,0.0346937523209839,0.1739257805393331,0.6106806931166147,-1.5871807763576933,0.6938053501331526,-0.0096929421965998,0.0135913962114074,0.1651314528530011,0.0
30066,9.134,0.2253,0.001,20.53382836047116,0.0321618016608311,0.7026090315040471,0.5542095304679138,-1.3864956820362022,0.5687562534786905,-0.0054883544001774,0.0070902971461092,0.2154266674600587,0.0
40782,10.152,0.3374,0.001,22.214525160048737,0.045659005875451,-1.151630133092023,3.0671003761886184,0.4373655311114574,3.0378797105806123,0.0039382483368206,0.0471561094547895,8.45459036742102,1.0
50293,8.555,0.36,0.001,21.93649152839115,0.0281061512739027,-0.0766024948885094,1.5673140720343588,-0.4043471656303763,2.0967668128968486,0.013788676749097,0.0338965364125785,3.0190809903617803,0.0
70955,9.513,0.3492,0.001,21.70905070007985,0.023222387983937,0.1345484726473188,1.039778367755087,-0.6490584737066247,1.550558459925663,0.0052372708693399,0.0179868768655895,1.504215073804233,0.0
80723,9.753,0.4305,0.001,22.36975055425237,0.0443977836333062,0.0470626852544372,1.877313942562419,-1.5986099171089172,1.609843246821933,-0.0605445993465995,-0.0357662749792887,2.624646877158432,0.0
91869,10.347,0.2888,0.001,21.45156499158506,0.0540877235585248,1.7841121507769853,0.9114192081691486,2.440686095368586,1.3183962834802214,-0.0088650770254905,0.0465223733455144,0.6926457151506189,1.0
100213,9.414,0.2752,0.001,21.64508501182628,0.0331243417988634,0.2686920554870242,0.7836399729922501,0.3778877627530453,1.1343979279256502,0.000269040327853,0.0207196986676849,0.5353421773811959,0.0
100405,11.1314,0.103,0.001,19.37326401729804,0.0192527315120038,-2.400156815621209,0.9688847113326609,0.3020575314551165,0.7894914517451078,0.0136294032633244,0.0114172389175168,0.7100652913360957,1.0
110033,10.063,0.2049,0.001,20.356759570036857,0.0277385398512876,2.150723569540263,0.7204144136286021,-0.2162816026033256,0.4014444556425862,0.0034771168853227,0.0082121111831617,0.1927993876183924,1.0
110478,9.468,0.2647,0.001,21.126899279739057,0.0359731926523015,0.8023136178368014,0.739783865111795,-0.8172649550911943,0.9218510164602008,-0.0053567595123758,0.0155500370514643,0.3957181411451501,0.0
110719,11.348,0.4276,0.001,22.945474127731305,0.0621707236109976,-0.608436563844897,3.383585603784829,0.160611252407918,2.584000634443742,-0.145847967944047,-0.0799369062001378,7.74676022695793,1.0
110734,11.404,0.4019,0.001,22.10699394969817,0.0366787062195565,0.6889294941238514,1.951021253746413,0.4641808861556012,2.216887017473858,-0.0212356282862161,-0.0085536545776408,3.781492389179011,1.0
120085,10.9,0.3218,0.001,22.16871823132456,0.0310074678662707,-2.110758654047391,1.5536163193264998,0.3313090146675347,1.5491005834815867,0.0101822810899442,0.0223795222177332,2.072064955839997,1.0
120094,11.65,0.4512,0.001,22.34326340977121,0.0273512836472193,0.925025589564706,1.8473672598430904,-1.7163174792128744,1.460212653545465,-0.026072516359305,-0.0120073730429875,2.474513756782557,1.0
120336,9.757,0.1612,0.001,20.43407831090065,0.0096820500044543,-0.6779091328148603,0.3358687747568817,1.011015951080201,0.3025270137822481,-0.0005645001656687,0.0008208447054642,0.0814082003832761,0.0
130308,10.424,0.0822,0.001,19.16369939594742,0.0250657714877215,-1.8208417802883252,0.5934491421354426,1.414315231321522,0.4435658065051723,-0.008800863907197,-0.000294956045758,0.2063277917630399,1.0
130514,10.2506,0.1056,0.001,18.820925647666897,0.0309562869278294,0.0920971758574968,0.2393832082454204,-1.4832836275704409,0.1692117483939352,-0.0031201616693155,0.0024787583581333,0.0207328421316828,1.0
140181,10.359,0.1022,0.001,19.043181819292208,0.0061984688731103,0.1429141271672425,0.3108946586648076,-0.1285863772189881,0.2858839782945227,0.001169544322247,0.0009912940752975,0.0774743093406701,1.0
150509,10.78,0.2928,0.001,21.31967720009412,0.0264164799421575,1.202771055904598,0.8395623951753411,-0.4778832603982194,0.7509075811381238,-0.0046309575417788,0.0093706832602083,0.3189229725629616,1.0
160039,6.0,0.2707,0.001,21.519000780682315,0.0342665785441368,-1.9560927245627868,0.6942532969990615,0.0124794994911047,0.6897135567914244,-0.0083169824489855,0.0150741006333738,0.1764192176234043,0.0
160099,11.223,0.1004,0.001,18.997331870657064,0.0102770653738102,-0.070232411605816,0.1489809094096157,-0.5798215598025193,0.102355721717675,-4.949540189571385e-05,0.000438246828828,0.012200553252613,1.0
160200,10.867,0.4235,0.001,22.820095143202398,0.0899398277946904,1.3886956020603411,3.758946064939975,-0.0469205113574746,3.5914680856220023,-0.2243110958328972,-0.1109275756679055,11.871321870952956,1.0
170428,9.1073,0.3001,0.001,22.032296743027477,0.0279653878015785,-1.5437078505557222,1.4402862932197469,1.2947174259495045,1.1391373492416002,-0.0165012767960675,-9.606788387321264e-05,1.390601771068365,0.0
180166,10.88,0.1476,0.001,19.99044771896464,0.0060388085638484,0.4035487487859873,0.2613227610590622,0.7577833881391534,0.2086525170090019,-0.0002229628547115,0.0001825622408636,0.0467536183749919,1.0
180561,8.444,0.2288,0.001,21.43610035391024,0.0291940711470219,-0.6860161051082747,0.8759557850228167,0.6532823962206761,0.6764669301171913,-0.0088205051636358,0.009207480945307,0.3124843297688491,0.0
190230,10.874,0.1388,0.001,20.07459052906654,0.0077525311635787,-1.1717168523339996,0.2400093881378981,-0.0020017554264605,0.1777621049277188,-0.0006993276187502,0.0002062835857061,0.0321721156070229,1.0
190260,10.833,0.1436,0.001,19.67269546276908,0.0068550944767789,0.3149815062366158,0.2750644200666085,-0.5833609398449793,0.2059676712722533,0.0002482427983717,0.00048422861676,0.0468734262163354,1.0
300105,9.866,0.0919,0.001,19.24194840642864,0.005707896765397,-0.5511843036271163,0.2481657005521523,0.0397731133088978,0.231320894328058,0.0005784036358178,0.0005377927299596,0.0464196988407298,0.0
310073,9.3124,0.1496,0.01,20.04159943875708,0.02432795811716,-2.304612393220623,0.4832008052674556,-1.603274400522573,0.2319396202978159,-0.0003392163020303,0.0028520452071299,0.0812435682784304,0.0
310161,9.577,0.2528,0.001,21.304097211899965,0.0242241448930982,-1.4626993185158972,0.5791481692866719,-0.5376424428900078,0.3815058977380973,-0.0067959849733041,0.0043178832613242,0.0858749001893593,0.0
310238,9.906,0.2842,0.001,21.395537849998732,0.0178326962938166,0.2713228990824207,0.581598436396057,0.5109807818671085,0.5347736062030443,-0.0013438019467923,0.0045328008313909,0.1819103493364884,0.0
310574,10.234,0.2368,0.001,21.233628436876103,0.0226495652386897,0.4736477523565829,0.6118045582034061,2.0236369699424577,0.6936088932072421,0.0031277350272865,0.0104025543316798,0.2874358300768989,1.0
320258,10.956,0.3412,0.001,22.065365433307164,0.0846086796685986,0.3085276430147716,2.9678087842165786,0.0466351822450416,3.0259779634751154,-0.1152159380483243,0.0414571262628768,6.939703883469193,1.0
330022,10.979,0.2641,0.001,21.46530150801769,0.0463887377591979,-1.9847407975482816,1.279315346690897,-1.711038071886777,1.133963749891192,0.0023071367119148,0.0247514270303358,0.91452895065979,1.0
330089,9.651,0.349,0.001,22.16848498545921,0.0500177758626009,-0.661369879464446,2.52421907605261,-2.0559634647089333,3.293209178178492,-0.0174947664559197,0.027906775427322,7.791349444754657,0.0
330128,10.812,0.3212,0.001,21.55672471403043,0.038385653476123,2.224971159471033,1.5097343383345194,0.9596478086340544,1.5823157758555977,-0.0034052091593144,0.0246666647374611,2.032921603992379,1.0
330146,10.7478,0.1352,0.001,20.37756686015186,0.0197196913620697,-2.2011420801614747,0.5727730755114909,1.194995345652618,0.5634135449247256,0.000589833180202,0.0057999138708435,0.2467152959598677,1.0
350047,10.491,0.2335,0.001,21.60256029172725,0.0409510394078069,-1.3057025644914813,3.2531885567647016,-0.2671523617373608,1.4396909864367835,-0.0305655718705674,0.009120923370774,3.997139462697375,1.0
350083,9.755,0.3676,0.001,21.928934669920714,0.0502649315683556,1.192576779979317,1.447398912677639,1.1696157445557254,1.6257449203565042,-0.0504525041176731,-0.0204471467479617,1.9848645624083083,0.0
350233,9.181,0.1692,0.001,20.54935484345541,0.0222630141671129,-0.4972819642092714,0.4730243767247963,0.980457574812293,0.4022098564710431,-0.0013264536688904,0.0057667064585387,0.1115851735096696,0.0
350548,10.636,0.1806,0.001,20.31834538367292,0.0177533610857927,-0.6474951990987884,0.537061989099985,-0.6743265515057154,0.5580788875415154,0.0024310649183917,0.0060579467095782,0.2612827846271509,1.0
